alpha,i,s
2.3,10,0.3788564880164945
2.4,1,0.3774607042776892
2.4,2,0.36609126605080244
2.4,3,0.37870833631054246
2.4,4,0.3697542173826738
2.4,5,0.3434891497861705
2.4,6,0.3686407746556351
2.4,7,0.3782787262899543
2.4,8,0.3875361282228726
2.4,9,0.347727551803425
2.4,10,0.3433190015413281
2.5,1,0.3547987670529708
2.5,2,0.3482528446092057
2.5,3,0.36116703403676587
2.5,4,0.35113680430324
2.5,5,0.37448954512660165
2.5,6,0.34150675376786616
2.5,7,0.3428279123402617
2.5,8,0.3544982389575442
2.5,9,0.35881892452176906
2.5,10,0.35716394464281004
2.6,1,0.3363127583214849
2.6,2,0.31390989862854013
2.6,3,0.35846021187084753
2.6,4,0.3141142268145741
2.6,5,0.31055982782638547
2.6,6,0.31930866646854184
2.6,7,0.34298013188399573
2.6,8,0.33939549621213033
2.6,9,0.3317609835271241
2.6,10,0.34537249532666814
2.7,1,0.29467733874929825
2.7,2,0.3363573026852739
2.7,3,0.31526877629403277
2.7,4,0.32437642800199995
2.7,5,0.3111740210534709
2.7,6,0.3142513099333933
2.7,7,0.3378583666336558
2.7,8,0.3440543054333602
2.7,9,0.3613402761371557
2.7,10,0.3138528042501571
2.8,1,0.3101174536605548
2.8,2,0.2903377189138998
